vapor mole frac methanol,liquid mole frac methanol
1,1
0.991953,0.98
0.983907,0.96
0.975858,0.94
0.967805,0.92
0.959746,0.9
0.951678,0.88
0.943597,0.86
0.9355,0.84
0.927383,0.82
0.919242,0.8
0.911073,0.78
0.902868,0.76
0.894623,0.74
0.886331,0.72
0.877983,0.7
0.869572,0.68
0.861087,0.66
0.852518,0.64
0.843852,0.62
0.835076,0.6
0.826174,0.58
0.817129,0.56
0.80792,0.54
0.798526,0.52
0.78892,0.5
0.779072,0.48
0.76895,0.46
0.758514,0.44
0.747718,0.42
0.736511,0.4
0.724832,0.38
0.71261,0.36
0.699758,0.34
0.686178,0.32
0.67175,0.3
0.656326,0.28
0.639734,0.26
0.621753,0.24
0.602116,0.22
0.580482,0.2
0.556419,0.18
0.529364,0.16
0.498575,0.14
0.463048,0.12
0.421395,0.1
0.371637,0.08
0.310848,0.06
0.234504,0.04
0.135217,0.02
0,0
